PROCESSED_BY;SERVICE;USER;SESSION;SESSION_SIZE;MIGRATED;PACKET_NBR;RADIO;NETWORK_UPLINK;DISPATCH;MIGRATE;PROCESS;NETWORK_DOWNLINK;QUEUE;
DC0_VM0;0;30;9;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;99;1;15;0;14;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;100;0;19;0;17;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;9;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;10;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;1;13;0;12;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;8;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;8;4;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;9;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;7;6;0;3;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;10;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;7;6;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;4;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;39;1;31;0;9;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;79;0;11;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;2;4;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;11;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;10;8;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;29;3;1;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;84;2;4;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;30;10;8;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;77;8;4;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;122;3;10;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;29;5;5;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;55;0;40;0;10;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;7;6;0;5;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;67;0;12;0;11;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;12;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;97;2;26;0;7;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;8;10;0;0;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;113;0;15;0;13;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;114;5;8;0;6;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;29;5;5;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;29;5;5;0;2;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
DC0_VM0;0;53;8;10;0;1;0.0;0.003;0.001;0.0;0.0;0.003;0.0;
